escola,municipio,estado,ano,arquivo,disciplina,acertos_medios,total_questoes,percentual_acertos,proficiencia,nivel
ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA\Consolidado Saex - 4º ANO.pdf,Língua Portuguesa,15.0,22.0,66.97,64.3,Aprendizado intermediário
ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA\Consolidado Saex - 4º ANO.pdf,Matemática,16.0,22.0,74.24,81.6,Aprendizado adequado
ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,12.0,22.0,56.22,51.1,Aprendizado intermediário
ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA\Consolidado Saex - 5º ANO.pdf,Matemática,10.0,22.0,43.69,31.7,Aprendizado intermediário
ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,13.0,22.0,60.0,44.0,Aprendizado intermediário
ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO\Consolidado Saex - 2º ANO.pdf,Matemática,17.0,22.0,77.58,59.1,Aprendizado intermediário
ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO,MENDES,RIO DE JANEIRO,3º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO\Consolidado Saex - 3º ANO.pdf,Língua Portuguesa,16.0,22.0,74.85,63.2,Aprendizado intermediário
ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO,MENDES,RIO DE JANEIRO,3º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO\Consolidado Saex - 3º ANO.pdf,Matemática,19.0,22.0,85.15,78.0,Aprendizado adequado
ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO\Consolidado Saex - 4º ANO.pdf,Língua Portuguesa,15.0,22.0,66.97,60.3,Aprendizado intermediário
ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO\Consolidado Saex - 4º ANO.pdf,Matemática,12.0,22.0,54.24,43.1,Aprendizado intermediário
ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,12.0,22.0,54.34,47.9,Aprendizado intermediário
ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA PREFEITO JOAO GURITO\Consolidado Saex - 5º ANO.pdf,Matemática,9.0,22.0,43.07,29.3,Defasagem
